"Sample Name","y025_peri_spike",""
"Sample Info","first real spiked sample - 40ng/uL C19 FAME- total samp
le vol = 750uL
",""
"Data File","C:\HPCHEM\1\DATA\VLAH\","16042602.D"
"Acq. Instrument","Instrument 1",""
"Analysis Method","C:\HPCHEM\1\METHODS\","FAMES4.M"
"Method Info","formated method for FAMEs, especially for 16 MUFAs, now also for 18 MUFAs
",""
"Results Created","4/26/16 10:19:54 AM",""
"Results Created by","Sami Taipale",""
"Acq. Method","FAMES4.M",""
"Injection Date","4/26/16 8:54:36 AM",""
"Acq. Operator","4/26/16 8:54:36 AM",""
"Seq. Line",2,""
"Vial",202,""
"unused Vial",0,""
"Inj",1,""
"Inj Volume",1,"µl"
"Actual Inj Volume",1,"µl"
"Sequence File","C:\HPCHEM\1\SEQUENCE\","MH150604.S"
"Report Title","Area Percent Report",""
"Sorted By","Signal",""
"Calib. Data Created",""," by "
"Calib. Data Modified","Monday, July 13, 2009 7:12:02 PM"," by Sami Taipale"
"Peak Identification","based on time windows",""
"Multiplier",1,""
"Dilution",1,""
"Number of Signals",1,""
"Signal 1","FID1 A, ",""
"Number of Errors and Warnings",2,""
"Msg 1","Warning : Calibration warnings (see calibration table listing)",""
"Msg 2","Warning : Calibrated compound(s) not found",""
"Number of Columns",7,""
"Column 1","Peak Number",""
"Column 2","Retention Time","min"
"Column 3","Peak Type",""
"Column 4","Peak Width","min"
"Column 5","  Area  "," [pA*s]  "
"Column 6","  Area   %",""
"Column 7","Compound Name",""
